area_name,area_type,data_layer,uncertainty_score,year,scientific_name,common_name,functional_group,commercial_group,fishing_entity,fishing_sector,catch_type,reporting_status,tonnes,landed_value
"Canada (Pacific)",eez,Reconstructed domestic catch,4,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Canada",Industrial,Landings,Reported,600.0000000000,455400
"Canada (Pacific)",eez,Reconstructed domestic catch,4,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Canada",Industrial,Landings,Unreported,6570.0000000000,4986630
"Canada (Pacific)",eez,Reconstructed domestic catch,4,1950,"Marine groundfishes not identified","Groundfishes","Medium demersals (30 - 89 cm)","Other fishes & inverts","Canada",Industrial,Discards,Unreported,987.0000000000,586278
"Canada (Pacific)",eez,Reconstructed domestic catch,4,1950,"Marine groundfishes not identified","Groundfishes","Medium demersals (30 - 89 cm)","Other fishes & inverts","Canada",Industrial,Landings,Unreported,3141.0000000000,1865754
"Canada (Pacific)",eez,Reconstructed domestic catch,4,1950,"Bivalvia","Clams","Other demersal invertebrates","Molluscs","Canada",Industrial,Landings,Unreported,1213.0000000000,5436666
"Canada (Pacific)",eez,Reconstructed domestic catch,4,1950,"Pleuronectiformes","Flatfishes","Small to medium flatfishes (<90 cm)","Flatfishes","Canada",Industrial,Landings,Reported,4900.0000000000,9006200
"Canada (Pacific)",eez,Reconstructed domestic catch,4,1950,"Decapoda","Crabs, lobsters, shrimps","Lobsters, crabs","Crustaceans","Canada",Industrial,Landings,Reported,200.0000000000,544999.999999999
"Canada (Pacific)",eez,Reconstructed domestic catch,4,1950,"Rajidae","Stingrays","Large rays (>=90 cm)","Sharks & rays","Canada",Industrial,Landings,Reported,200.0000000000,53000
"Canada (Pacific)",eez,Reconstructed domestic catch,4,1950,"Scombridae","Mackerels, tunas, bonitos","Large pelagics (>=90 cm)","Perch-likes","Canada",Industrial,Landings,Unreported,990.0000000000,1228590
"Canada (Pacific)",eez,Reconstructed domestic catch,4,1950,"Sebastidae","Rockfishes, rockcods, thornyheads","Medium demersals (30 - 89 cm)","Scorpionfishes","Canada",Industrial,Landings,Unreported,92.0000000000,70748
"Canada (Pacific)",eez,Reconstructed domestic catch,4,1950,"Brachyura","Marine crabs","Lobsters, crabs","Crustaceans","Canada",Industrial,Landings,Unreported,454.0000000000,436748
"Canada (Pacific)",eez,Reconstructed domestic catch,4,1950,"Ostreidae","True oysters","Other demersal invertebrates","Molluscs","Canada",Industrial,Landings,Unreported,2297.0000000000,20468567
"Canada (Pacific)",eez,Reconstructed domestic catch,1,1950,"Haliotis","Abalones","Other demersal invertebrates","Molluscs","Canada",Artisanal,Landings,Reported,0.2500000000,1996.75
"Canada (Pacific)",eez,Reconstructed domestic catch,4,1950,"Oncorhynchus mykiss","Rainbow trout","Large benthopelagics (>=90 cm)","Salmon, smelts, etc","Canada",Industrial,Landings,Unreported,145.0000000000,401215
"Canada (Pacific)",eez,Reconstructed domestic catch,1,1950,"Oncorhynchus mykiss","Rainbow trout","Large benthopelagics (>=90 cm)","Salmon, smelts, etc","Canada",Subsistence,Landings,Unreported,22.0000000000,60874
"Canada (Pacific)",eez,Reconstructed domestic catch,4,1950,"Oncorhynchus gorbuscha","Pink salmon","Medium demersals (30 - 89 cm)","Salmon, smelts, etc","Canada",Industrial,Discards,Unreported,625.0000000000,844375
"Canada (Pacific)",eez,Reconstructed domestic catch,4,1950,"Oncorhynchus gorbuscha","Pink salmon","Medium demersals (30 - 89 cm)","Salmon, smelts, etc","Canada",Industrial,Landings,Reported,18300.0000000000,24723300
"Canada (Pacific)",eez,Reconstructed domestic catch,4,1950,"Oncorhynchus gorbuscha","Pink salmon","Medium demersals (30 - 89 cm)","Salmon, smelts, etc","Canada",Industrial,Landings,Unreported,18322.0000000000,24753022
"Canada (Pacific)",eez,Reconstructed domestic catch,1,1950,"Oncorhynchus gorbuscha","Pink salmon","Medium demersals (30 - 89 cm)","Salmon, smelts, etc","Canada",Subsistence,Landings,Unreported,7.0000000000,9457
"Canada (Pacific)",eez,Reconstructed domestic catch,3,1950,"Oncorhynchus gorbuscha","Pink salmon","Medium demersals (30 - 89 cm)","Salmon, smelts, etc","Canada",Recreational,Landings,Unreported,2720.0000000000,3674720
"Canada (Pacific)",eez,Reconstructed domestic catch,4,1950,"Oncorhynchus keta","Chum salmon","Large benthopelagics (>=90 cm)","Salmon, smelts, etc","Canada",Industrial,Discards,Unreported,659.0000000000,894922
"Canada (Pacific)",eez,Reconstructed domestic catch,4,1950,"Oncorhynchus keta","Chum salmon","Large benthopelagics (>=90 cm)","Salmon, smelts, etc","Canada",Industrial,Landings,Reported,36000.0000000000,48888000
"Canada (Pacific)",eez,Reconstructed domestic catch,4,1950,"Oncorhynchus keta","Chum salmon","Large benthopelagics (>=90 cm)","Salmon, smelts, etc","Canada",Industrial,Landings,Unreported,35999.0000000000,48886642
"Canada (Pacific)",eez,Reconstructed domestic catch,1,1950,"Oncorhynchus keta","Chum salmon","Large benthopelagics (>=90 cm)","Salmon, smelts, etc","Canada",Subsistence,Landings,Unreported,458.0000000000,621964
"Canada (Pacific)",eez,Reconstructed domestic catch,3,1950,"Oncorhynchus keta","Chum salmon","Large benthopelagics (>=90 cm)","Salmon, smelts, etc","Canada",Recreational,Landings,Unreported,2869.0000000000,3896102
"Canada (Pacific)",eez,Reconstructed domestic catch,4,1950,"Oncorhynchus nerka","Sockeye salmon","Medium pelagics (30 - 89 cm)","Salmon, smelts, etc","Canada",Industrial,Discards,Unreported,309.0000000000,536114.999999999
"Canada (Pacific)",eez,Reconstructed domestic catch,4,1950,"Oncorhynchus nerka","Sockeye salmon","Medium pelagics (30 - 89 cm)","Salmon, smelts, etc","Canada",Industrial,Landings,Reported,13300.0000000000,23075500
"Canada (Pacific)",eez,Reconstructed domestic catch,4,1950,"Oncorhynchus nerka","Sockeye salmon","Medium pelagics (30 - 89 cm)","Salmon, smelts, etc","Canada",Industrial,Landings,Unreported,13330.0000000000,23127550
"Canada (Pacific)",eez,Reconstructed domestic catch,1,1950,"Oncorhynchus nerka","Sockeye salmon","Medium pelagics (30 - 89 cm)","Salmon, smelts, etc","Canada",Subsistence,Landings,Unreported,510.0000000000,884850
"Canada (Pacific)",eez,Reconstructed domestic catch,3,1950,"Oncorhynchus nerka","Sockeye salmon","Medium pelagics (30 - 89 cm)","Salmon, smelts, etc","Canada",Recreational,Landings,Unreported,1347.0000000000,2337045
"Canada (Pacific)",eez,Reconstructed domestic catch,4,1950,"Oncorhynchus tshawytscha","Chinook salmon","Large benthopelagics (>=90 cm)","Salmon, smelts, etc","Canada",Industrial,Discards,Unreported,134.0000000000,522332
"Canada (Pacific)",eez,Reconstructed domestic catch,4,1950,"Oncorhynchus tshawytscha","Chinook salmon","Large benthopelagics (>=90 cm)","Salmon, smelts, etc","Canada",Industrial,Landings,Reported,6000.0000000000,23388000
